Proposed BICAN Field Name,BICAN UUID,Aliases,LinkML Class,Definition,Nullable,Permissible Values,Data Type,Data Example,Min Value,Max Value,Unit,Statistical Variable Type,Subsets,Version Date
taxonomy_citation,e23582e7-3be3-4ae9-8682-d904b21daaa3,publication,,"Publication DOI's of the taxonomy (e.g., ""doi:10.1038/s41586-018-0654-5""), separated by `|`. This is called `Publication` in taxonomy Google Sheet.",,,,,,,,,annotations,
transferred_annotations_metadata,80e26439-2e51-4faa-87ef-576937b89c71,,,"A data frame of information about each transferred annotation column: `source_taxonomy`, `algorithm_name`, `comment`. This is for taxonomy-level metadata and linked to data in var. This is important for tracking the provenance of transferred annotations and ensuring that the source of each annotation is clear.",,,,,,,,,annotations,
taxonomyDir,d414a71b-aa2b-403b-8a3d-2f201df25d5b,taxonomy file location,,The location of the h5ad file. This is called `Taxonomy file location` in taxonomy Google Sheet.,,,,,,,,,annotations,
dataset_url,029268dc-80e7-4ed5-976b-feecf1eb611f,,,The PURL of the dataset; this is the URL where the dataset can be found.,,,,,,,,,"annotations, tooling",
matrix_file_id,5d625688-96da-4c65-97b9-211cbcad4aea,,,The ID of a matrix file. This is like dataset_url; e.g. `CellXGene_dataset:8e10f1c4-8e98-41e5-b65f-8cd89a887122`. ,,,,,,,,,"annotations, tooling",
author_list,15e4be61-b1fb-49a5-9a81-7fed61138256,taxonomy users,,"A list of all collaborators, comma separated [First] [Last]. Called `Taxonomy Users` in taxonomy Google Sheet.",,,,,,,,,"annotations, tooling",
author_name,0ea83cdb-cd06-4ef8-84c1-6aec29220759,"taxonomy author, point person name",,"The primary author [First Name] [Last Name] of the taxonomy. In CCN was called `taxonomy_author`. In CCN it is also seperated by `cell_set` with ""cell_set_alias_assignee"". This is called `Point person name` in taxonomy Google Sheet.",,,,,,,,,annotations,
author_contact,fa084043-3c8e-47cb-959e-2f3daf2165ec,point person email,,A valid email address of the primary author of a taxonomy. This is called `Point person email` in taxonomy Google Sheet.,,,,,,,,,annotations,
orcid,2c96776b-b158-4e0c-ba67-ea7a63efb1e8,point person ORCID,,A valid ORCID of the primary author of the taxonomy. This is called `Point person ORCID` in taxonomy Google Sheet.,,,,,,,,,annotations,
annotation_source,d37cf51c-d38e-4ef3-968f-bfe78dac03a9,taxonomy algorithm info,,Any additional metadata about the annotation algorithm used. This is similar to `taxonomy algorithm info` stored for CCN,,,,,,,,,annotations,
assigned_metadata_metadata,e0cbb726-f108-4514-8243-0799327cb104,,,TBD information about the assigned_metadata itself. This likely is not needed or should be renamed.,,,,,,,,,assigned metadata,
batch_condition,f4abc03e-7f6f-45cb-8a2e-d59a5846f368,,,"List of obs fields that define “batches”; Used by CELLxGENE if provided, but otherwise not needed.",,,,,,,,,assigned metadata,
calculated_metadata_metadata,9d053c35-ad2a-49c0-bfb4-e53e5a81d4a3,,,TBD information about the calculated_metadata itself. This likely is not needed or should be renamed.,,,,,,,,,calculated metadata,
cell_annotation_schema,502d73af-b1d7-41b4-991b-dfd8d84d0cda,,,extended metadata about annotations and labelsets stores in JSON.,,,,,,,,,calculated metadata,
QC_markers,6d10fcce-7895-4a33-b004-370db3a6698f,,,"The marker gene expression in on-target and off-target cell populations, useful for patchseq analysis. Also includes information about KL divergence calculations and associated QC calls and is defined by `buildPatchseqTaxonomy`.",,,,,,,,,analysis,
filter,2b5c18ef-5436-44dc-ab60-13965f052efb,,,"An indicator of which cells to use for a given child taxonomy (subset), saved as a list of vectors. Each entry in this list is named for the relevant ""mode"" and has TRUE/FALSE calls indicating whether a cell is filtered out (e.g., the ""standard"" taxonomy is all FALSE). This is critical for how child taxonomies are defined and implemented in scrattch.taxonomy but differs from how taxonomies are stored in all other schemas.",,,,,,,,,"analysis, annotations, labelsets",
mode,c6cdf84a-6128-4c92-92aa-e33739ae1715,,,"A taxonomy mode determines which filter to use (e.g., that indicates which child taxonomy to map against). Several of the other analysis components of the uns have things saved with mode as the name in the h5ad file. See also the scrattch.mapping documentation. Mode is the Taxonomy short name in taxonomy Google Sheet for a child taxonomy with the Parent taxonomy listed as the `taxonomyName`.",,,,,,,,,analysis,
clustersUse,4375b86a-eefe-4e41-9ba9-3aacd224572e,,,A vector of cluster names to use for taxonomy.,,,,,,,,,analysis,
clusterInfo,6e49e5f4-05f7-42a9-b5eb-400f51419065,,,A data.frame of cluster information.,,,,,,,,,analysis,
marker_gene_metadata,b70f1ded-2bd8-426d-94de-bd6e28ae7989,,,"Metadata about any new marker gene lists added, if any.",,,,,,,,,"analysis, annotations",
development_date,08e5466c-afce-481c-b6b4-a260150f88b7,,,Date of taxonomy development. Required for Google Sheet.,,,,,,,,,analysis,
public,c0c82901-3045-419b-9826-d973c3e8a801,,,A logical flag indicating whether the taxonomy should be public or private. Required for Google Sheet.,,,,,,,,,analysis,
annotation_sheet,17295ee7-a1b5-4174-ba1f-86adfa5273f7,,,A link to annotation sheet. An optional slot in the Google sheet.,,,,,,,,,analysis,
purpose,c26bec4c-0d5c-456f-9dc7-8f405551a030,,,"The overarching purpose of the taxonomy. This is a controlled vocabulary (currently ""General"" and/or ""Patch-seq""). Required for Google Sheet at the moment.",,,,,,,,,analysis,
schema_version,34a60ffb-c6ac-4264-9ec3-5846c3745207,,,"The cellxgene schema version (e.g., ""3.0.0"").",,,,,,,,,tooling,
[...]_color,b2ee3685-aa64-43d3-b351-9cec1b6214ea,,, RGB color vector for metadata [...]; required only for selecting colors in cirrocumulus. This may be the same as the [COLUMN_NAME]_color.,,,,,,,,,tooling,
cellannotation_schema_version,195cbdbf-d486-4d54-9c1d-83edf0a44ec5,,,"The version of the Cell Annotation Schema (CAS) used, formatted as '[MAJOR].[MINOR].[PATCH]'. This is used to track the version of the schema used for cell annotations.",,,,,,,,,tooling,
cellannotation_timestamp,37da06ba-9c15-405f-b5d6-f8d2bf5fc3a3,,,"Timestamp when published: %yyyy-%mm-%dd %hh:%mm:%ss; Useful in general, though currently only required by CAP. This also could be the same as `development_date`.",,,,,,,,,tooling,
cellannotation_version,439f52e8-e2e6-406c-850c-434d448c8b6d,,,The CAP taxonomy annotation version; required by CAP.,,,,,,,,,tooling,
[additional information],994e6572-2aca-4f0a-89f0-6b7fd893a36b,,,"Placeholder for several other (seemingly redundant) fields required by external tools (e.g., CAP, cellxgene).",,,,,,,,,tooling,
umap,15e38e64-76d8-4150-af4e-ea76f5abfd6f,,,"A 2 (or more)-dimensional representation of cells in AIT. Must be of the form X_[...] for use with CELLxGENE. Only the first two dimensions are used for AIT and CELLxGENE, but 3 dimensions can be used for cirrocumulus.",,,,,,,,,analysis,
pca,ef83b392-763b-4ae4-b77d-01759bc514d4,,,Additional terms for embedding multi-dimensional principal components and latent spaces,,,,,,,,,analysis,
scVI,7accffad-bd7d-4f13-bedc-557e1b813481,,,Additional terms for embedding multi-dimensional principal components and latent spaces,,,,,,,,,analysis,
labelsets_fields,3b7de4bc-d2e2-431f-a029-fcccae7b1ccf,"cluster annotation term sets, label_sets",,"This is a list of fields that are used in the labelsets data frame. The column name is a string (e.g., ""subclass"") and the values are cell_labels (e.g., ""SST""). The equivalent in BKP are Cluster Annotation Term Sets and in CAP is label_sets. This also encapsulates the concept of cell_ids from CAP/CAS, since in the h5ad file each row corresponds to a cell and therefore you get the cell_label --> cell_ids mapping for free. This is stored as separate files in both BKP and TDT. This is critical for scrattch.taxonomy and scrattch.mapping to work properly, but none of the [cellannotation_set]--XXXX fields below are needed for AIT.",,,,,,,,,labelsets,
neurotransmitters,c0bd3c28-e523-4e9c-af73-4d01ce82390b,neurotransmitter,,"The neurotransmitter(s) that are associated with the cell set. This is a string that can be a single neurotransmitter or a comma-separated list of neurotransmitters (e.g., ""GABA, Glutamate"").",,,,,,,,,labelsets,
cell_set_accession,55cb81b4-5f6d-4930-aba6-0ef1d1784124,cluster annotation term,,"The ID corresponding to the cell_set; called the ""Cluster Annotation Term"" in BKP. This is critical for scrattch.taxonomy and scrattch.mapping to work properly.",,,,,,,,,labelsets,
cell_set_label,69dc12e7-e825-400f-bf51-5f3f54a1204b,,,A label for a particular cell set. In CCN this is used as a tag for each cluster or (for cell sets with >1 cluster) included a list of underlying cluster labels. It was important for proper databasing without a database.,,,,,,,,,labelsets,
cell_fullname,b5036e70-9181-45c0-8fdb-66da93be2d87,cell_set_preferred_alias,,"The longer name for a cell type (e.g., ""Somatostatin interneuron 1"" rather than ""SST 1""). This was called the cell_set_preferred_alias in CCN.",,,,,,,,,labelsets,
cell_ontology_exists,9d840e2f-af93-45b5-9528-a7e9a74bf237,,,A true/false field about whether a cell ontology term exists that corresponds to the cell type.,,,,,,,,,labelsets,
cell_ontology_term_id,fe21fa47-6fd2-4432-82de-2412db9462c6,cell_set_ontology_tag,,The highest resolution Cell Ontology term ID corresponding to the cell type. This was called `cell_set_ontology_tag` in CCN.,,,,,,,,,labelsets,
cell_ontology_term,52685f23-9bcc-416a-ae70-e9de43ef4123,cell_set_structure,,The highest resolution Cell Ontology term (name) corresponding to the cell type. This was called `cell_set_structure` in CCN and was also largely mapping to the `cell_set_aligned_alias`.,,,,,,,,,labelsets,
rationale,a76fa81e-ba3f-4813-ac7c-cce1f43683a6,,,Free text evidence for cell annotations. This human-readable free-text must be encoded as a single string and has a 2000-character limit.,,,,,,,,,labelsets,
rationale_dois,cd9ce030-058c-4890-b552-750735c90ba4,cell_set_alias_citation,,"A list of publication DOI's of rationale. In CCN, this is called ""cell_set_alias_citation"". NOTE: this can use comma-separated, pipe-separated, or /#/-separated.",,,,,,,,,labelsets,
marker_gene_evidence,e790e621-e7f2-42ba-8f20-bcac2c1f86e4,,,"A list (comma-separated) of marker genes used as evidence for cell type annotation (e.g., by NS-Forest). Note: This is reserved for ontology markers.",,,,,,,,,labelsets,
synonyms,137f6d7d-d257-4ffb-8a14-24fcb0bab0e9,cell_set_additional_alias,,"A list (comma-separated) of aliases or synonyms (e.g., ""neuroglial cell, glial cell, neuroglia""). This was called `cell_set_additional_alias` in CCN. ",,,,,,,,,labelsets,
parent_cell_set_name,27bf9e17-13e9-4a52-8d15-24c55146aec4,parent_cell_set_label,,The `cell_label` corresponding to the parent cell_set.,,,,,,,,,labelsets,
parent_cell_set_accession,bfa1e2d9-e65d-480d-b54c-9947acaddd93,parent_cluster_annotation_term_id,,The ID corresponding to the parent cell_set. This corresponds to the parent Cluster Annotation Term ID in knowledgebase.,,,,,,,,,labelsets,
transferred_annotations,1c3f146c-eb76-451d-9925-15f58f47f71a,,,"A dataframe where each column is a string corresponding to the taxonomy of comparison; values are the transferred cell label from that taxonomy. This is used to store annotations that have been transferred from one taxonomy to another, allowing for cross-taxonomy comparisons.",,,,,,,,,labelsets,
transferred_annotations_metadata,80e26439-2e51-4faa-87ef-576937b89c71,,,"A data frame of information about each transferred annotation column: `source_taxonomy`, `algorithm_name`, `comment`. This is for taxonomy-level metadata and linked to data in var. This is important for tracking the provenance of transferred annotations and ensuring that the source of each annotation is clear.",,,,,,,,,labelsets,
annotation_key_name,f09d7148-9750-4a9c-8eba-da1a11c3b274,,,The name of the annotation key.,,,,,,,,,labelsets,
annotation_key_description,63e9a887-cdf9-4248-ae83-41a720ce8f53,,,Some text describing what types of cell annotation this annotation key is used to record.,,,,,,,,,labelsets,
annotation_method,2e91e232-dccb-4584-8a0b-0263660d6c08,,,"The method used for creating the cell annotations. This MUST be one of the following strings: 'algorithmic', 'manual', or 'both' . ",,,,,,,,,labelsets,
automated_annotation,9fba68df-a9f0-4cf9-994d-9b15f31fb88d,,,A boolean indicating whether the annotation was created using an automated method. This is used to distinguish between annotations that were generated by algorithms versus those that were manually curated.,,,,,,,,,labelsets,
algorithm_name,fd9cb36e-5d29-45d7-8002-c4da15c9a3d1,,,The name of the algorithm used. It MUST be a string of the algorithm's name.,,,,,,,,,labelsets,
algorithm_version,81ed9281-3f29-46e8-8e06-963afe3e27e4,,,"The version of the algorithm used (if applicable). It MUST be a string of the algorithm's version, which is typically in the format '[MAJOR].[MINOR]', but other versioning systems are permitted (based on the algorithm's versioning).",,,,,,,,,labelsets,
algorithm_repo_url,ce81ab8b-3892-473d-883c-c8fa266376ec,,,This field denotes the URL of the version control repository associated with the algorithm used (if applicable). It MUST be a string of a valid URL.,,,,,,,,,labelsets,
reference_location,4d60f911-5c5c-4ebc-a1df-b243a7252730,,,"This field denotes a valid URL of the annotated dataset that was the source of annotated reference data. This MUST be a string of a valid URL. The concept of a 'reference' specifically refers to 'annotation transfer' algorithms, whereby a 'reference' dataset is used to transfer cell annotations to the 'query' dataset.",,,,,,,,,labelsets,
rank,25bb3ce6-eda7-47be-8855-317a3b1002ea,,,A number indicating relative granularity with 0 being the most specific. Use this where a single dataset has multiple keys that are used consistently to record annotations and different levels of granularity.,,,,,,,,,labelsets,
labelset,9a521209-c4f3-40df-aab2-17ada8d3abce,,,The unique name of the set of cell annotations. Each cell within the AnnData/Seurat file MUST be associated with a 'cell_label' value in order for this to be a valid 'cellannotation_setname'.,,,,,,,,,CAS,
cell_label,736fdcaf-06b5-43a9-ae38-022c07d44675,,,"This denotes any free-text term which the author uses to annotate cells, i.e. the preferred cell label name used by the author. Abbreviations are exceptable in this field; refer to 'cell_fullname' for related details. Certain key words have been reserved:- 'doublets' is reserved for encoding cells defined as doublets based on some computational analysis- 'junk' is reserved for encoding cells that failed sequencing for some reason, e.g. few genes detected, high fraction of mitochondrial reads- 'unknown' is explicitly reserved for unknown or 'author does not know'- 'NA' is incomplete, i.e. no cell annotation was provided.",,,,,,,,,CAS,
cell_ids,64cbaff0-a87b-4cab-9107-4feb97e07e61,,,List of cell barcode sequences/UUIDs used to uniquely identify the cells within the AnnData/Seurat matrix. Any and all cell barcode sequences/UUIDs MUST be included in the AnnData/Seurat matrix.,,,,,,,,,CAS,
reviews,54d10921-012f-4403-bcaa-853a170c29d2,,,A list of reviews.,,,,,,,,,CAS,
review_datestamp,5a59ce8d-b35b-4ce7-8515-a93e0ba5818a,,,Date and time review was last edited.,,,,,,,,,CAS,
reviewer,83675161-f5c0-4fcc-9608-52ee45974788,,,Review author.,,,,,,,,,CAS,
review,ca5dd5dd-d60e-420c-a88c-de4a38254e86,,,Reviewer's verdict on the annotation. Must be `agree` or `disagree`.,,,,,,,,,CAS,
explanation,632f2913-a0be-411d-a58f-9566b9aaaa93,,,Free-text explanation of annotation review. This is required if the review is `disagree` and should include reasons for disagreement.,,,,,,,,,CAS,
author_annotation_fields,2acaa8e2-2b31-4f0b-bbea-03a03f6d9ea3,,,A dictionary of author defined key value pairs annotating the cell set. The names and aims of these fields MUST not clash with official annotation fields.,,,,,,,,,CAS,
tranferred_cell_label,e2c995b9-2448-4dd8-904a-bf32d6df6233,,,The cell label that was transferred from the reference dataset.,,,,,,,,,CAS,
source_taxonomy,c36dce85-4c4a-4419-8ceb-388236a65b3e,,,The PURL of the source taxonomy.,,,,,,,,,CAS,
source_node_accession,e119d520-a55b-4b36-9be1-7928f13d3044,,,The accession of the node that the label was transferred from. ,,,,,,,,,CAS,
annotation_transfer_comment,4b846509-4955-4226-b931-5a68041127c8,,,Free-text field for comments on the annotation transfer.,,,,,,,,,CAS,
cells,ec4f450b-cf5f-4bfc-9b07-8eac2703c326,,,The list of cells that are annotated -- by convention this is only used for annotation transfer labelset. It MUST not be combined with the `cell_ids` field. ,,,,,,,,,CAS,
confidence,e81a70d8-d0db-4ba8-99bd-aef3cb0fd1e5,,,The normalized confidence score ,,,,,,,,,CAS,
author_categories,5f3854a0-da07-4cdc-aea1-3ec2efe17cf9,,,A list of author defined categories.,,,,,,,,,CAS,
negative_marker_gene_evidence,5720e5f6-18a5-4cb4-b7bf-afef27b8b3d1,,,A list of names of genes whose expression in the cells being annotated is explicitly used as evidence against this cell annotation. Each gene MUST be included in the matrix of the AnnData/Seurat file.,,,,,,,,,CAS,
